Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,200,200,Inf,54.99,0,0,54.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,2000,2000,Inf,109.99,0,0,109.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,200,200,Inf,54.99,0,0,54.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,2000,2000,Inf,109.99,0,0,109.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,200,200,Inf,54.99,0,0,54.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,2000,2000,Inf,109.99,0,0,109.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,200,200,Inf,54.99,0,0,54.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,2000,2000,Inf,109.99,0,0,109.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,200,200,Inf,54.99,0,0,54.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,2000,2000,Inf,109.99,0,0,109.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Mediacom Southeast LLC,FLORIDA,7417.59301,Cable,100,5,Inf,30,0,0,30,0,Yes
Mediacom Southeast LLC,FLORIDA,7417.59301,Cable,1000,50,3000,109.99,0,0,109.99,0,Yes
Mediacom Southeast LLC,FLORIDA,7417.59301,Cable,25,3,Inf,14.95,0,0,14.95,0,Yes
Mediacom Southeast LLC,FLORIDA,7417.59301,Cable,300,20,1500,89.99,0,0,89.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,200,200,Inf,54.99,0,0,54.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,2000,2000,Inf,109.99,0,0,109.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,200,200,Inf,54.99,0,0,54.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,2000,2000,Inf,109.99,0,0,109.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
Cox Communications,FLORIDA,66535.4,Cable,100,5,1280,49.99,0,0,49.99,0,Yes
Cox Communications,FLORIDA,33267.7,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,200,200,Inf,54.99,0,0,54.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,2000,2000,Inf,109.99,0,0,109.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,500,500,Inf,59.99,0,0,59.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,5000,5000,Inf,169.99,0,0,169.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,Fiber,1000,1000,Inf,79.99,0,0,79.99,0,Yes
Cox Communications,FLORIDA,66535.4,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"MetroNet Holdings, LLC",FLORIDA,7417.59301,Fiber,2000,2000,Inf,99.95,0,12,111.95,0,Yes
"MetroNet Holdings, LLC",FLORIDA,7417.59301,Fiber,500,500,Inf,49.95,0,12,61.95,0,Yes
"MetroNet Holdings, LLC",FLORIDA,7417.59301,Fiber,100,100,Inf,29.95,0,12,41.95,0,Yes
"MetroNet Holdings, LLC",FLORIDA,7417.59301,Fiber,1000,1000,Inf,64.95,0,12,76.95,10,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"MetroNet Holdings, LLC",FLORIDA,7417.59301,Fiber,500,500,Inf,49.95,0,12,61.95,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,317841.6125,Cable,1200,35,1229,122,0,0,122,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,317841.6125,Cable,200,10,1229,82,0,0,82,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,2576.04375,Fiber,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,2576.04375,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"MetroNet Holdings, LLC",FLORIDA,7417.59301,Fiber,100,100,Inf,29.95,0,12,41.95,0,Yes
"MetroNet Holdings, LLC",FLORIDA,7417.59301,Fiber,1000,1000,Inf,64.95,0,12,76.95,10,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"MetroNet Holdings, LLC",FLORIDA,7417.59301,Fiber,2000,2000,Inf,99.95,0,12,111.95,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Knology of Alabama, Inc.",FLORIDA,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,1000,100,1229,112,0,0,112,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,1000,20,1229,112,0,0,112,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,317841.6125,Fiber,10000,10000,Inf,299.95,0,0,299.95,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,1200,200,1229,122,0,0,122,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,1200,35,1229,122,0,0,122,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,200,10,1229,82,0,0,82,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,200,100,1229,82,0,0,82,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,317841.6125,Cable,2000,200,1229,130,0,0,130,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,400,10,1229,92,0,0,92,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,400,100,1229,92,0,0,92,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,75,10,1229,62,0,0,62,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,75,75,1229,62,0,0,62,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,317841.6125,Cable,400,10,1229,92,0,0,92,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,317841.6125,Cable,75,10,1229,62,0,0,62,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,317841.6125,Cable,800,20,1229,102,0,0,102,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,100,10,Inf,77.99,0,0,77.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,1000,50,Inf,142.99,0,0,142.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,200,20,Inf,99.99,0,0,99.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,500,50,Inf,119.99,0,0,119.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,100,10,Inf,77.99,0,0,77.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,1000,50,Inf,142.99,0,0,142.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,200,20,Inf,99.99,0,0,99.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,500,50,Inf,119.99,0,0,119.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,100,10,Inf,77.99,0,0,77.99,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,800,100,1229,102,0,0,102,0,Yes
"Comcast Cable Communications, LLC",FLORIDA,158920.8063,Cable,800,20,1229,102,0,0,102,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,500,50,Inf,119.99,0,0,119.99,0,Yes
"Cogeco US Finance, LLC",FLORIDA,7417.59301,Cable,100,10,Inf,77.99,0,0,77.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,500,500,Inf,199.99,0,0,199.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,1000,1000,Inf,299.99,0,0,299.99,0,Yes
Frontier Communications Corporation,FLORIDA,19496.4125,DSL,115,7,Inf,74.99,0,0,74.99,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,50,10,1024,70,0,0,70,0,Yes
BellSouth Telecommunications Inc,FLORIDA,148094.2423,Fiber,5000,5000,Inf,255,0,0,255,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,5000,5000,Inf,599.99,0,0,599.99,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,10,1,1024,70,0,0,70,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,100,20,Inf,70,0,0,70,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,25,5,1024,70,0,0,70,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,50,10,1024,70,0,0,70,0,Yes
BellSouth Telecommunications Inc,FLORIDA,148094.2423,Fiber,5000,5000,Inf,255,0,0,255,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,75,20,1024,70,0,0,70,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,300,300,Inf,169.99,0,0,169.99,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,100,20,Inf,70,0,0,70,0,Yes
BellSouth Telecommunications Inc,FLORIDA,148094.2423,Fiber,1000,1000,Inf,85,0,0,85,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,25,5,1024,70,0,0,70,0,Yes
"Hotwire Communications, Ltd.",FLORIDA,7417.59301,Fiber,2000,2000,Inf,399.99,0,0,399.99,0,Yes
BellSouth Telecommunications Inc,FLORIDA,148094.2423,Fiber,5000,5000,Inf,255,0,0,255,0,Yes
BellSouth Telecommunications Inc,FLORIDA,29618.84846,DSL,75,20,1024,70,0,0,70,0,Yes
"Charter Communications, Inc.",FLORIDA,260531.3,Cable,300,10,Inf,79.99,0,0,79.99,0,Yes
